Behavioral Domain;Definition;Adapted From;Citation
Cognition;The mental faculty of knowing, which includes perceiving, recognizing, conceiving, judging, reasoning, and imagining.;The mental faculty of knowing, which includes perceiving, recognizing, conceiving, judging, reasoning, and imagining.;cognition. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=cognition&x=0&y=0
Cognition.Attention;The concentration of the mind on a single object or thought, especially one preferentially selected from a complex, with a view to limiting or clarifying receptivity by narrowing the range of stimuli.;A concentration of the mind on a single object or thought, especially one preferentially selected from a complex, with a view to limiting or clarifying receptivity by narrowing the range of stimuli.;attention. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=attention&x=0&y=0
Cognition.Language;The mental faculty associated with a body of words and the systems for their use common to a people who are of the same community or nation, the same geographical area, or the same cultural tradition.;A body of words and the systems for their use common to a people who are of the same community or nation, the same geographical area, or the same cultural tradition.;language. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=language&x=0&y=0
Cognition.Language.Orthography;The study of writing words in language with the proper letters, according to accepted usage and correct spelling.;The art of writing words with the proper letters, according to accepted usage; correct spelling.;orthography. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=orthography&x=0&y=0
Cognition.Language.Phonology;The study of the distribution and patterning of speech sounds in a language and of the tacit rules governing pronunciation.;The study of the distribution and patterning of speech sounds in a language and of the tacit rules governing pronunciation.;phonology. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=phonology&x=0&y=0
Cognition.Language.Semantics;The study of meaning in language.;The study or science of meaning in language.;semantics. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=semantics&x=0&y=0
Cognition.Language.Speech;The study of expressing or describing thoughts, feelings, or perceptions in language, using words.;The faculty or act of expressing or describing thoughts, feelings, or perceptions by the articulation of words.;speech. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=speech&x=0&y=0
Cognition.Language.Syntax;The study of the rules for the formation of grammatical sentences in language.;The study of the rules for the formation of grammatical sentences in a language.;syntax. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=syntax&x=0&y=0
Cognition.Memory;The mental faculty of retaining and reviving facts, events, or impressions, or of recalling or recognizing previous experiences.;The mental capacity or faculty of retaining and reviving facts, events, impressions, etc., or of recalling or recognizing previous experiences.;memory. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=memory&x=0&y=0
Cognition.Memory.Working;The memory for intermediate results that must be held during thinking.;The memory for intermediate results that must be held during thinking.;working memory. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=working memory&x=0&y=0
Cognition.Memory.Explicit;The memory that consists of information stored and retrieved explicitly from the external world. This information is about a specific event that has occurred at a specific time and place.  Associations are done with previously related stimuli or experiences in the formation, storage and subsequent retrieval of these memories.;Consists of information stored and retrieved explicitly from the external world. This information is about a specific event that has occurred at a specific time and place.  Associations are done with previously related stimuli or experiences in the formation, storage and subsequent retrieval of these memories.;explicit memory. (n.d.). Wikipedia. Retrieved September 08, 2006, from Wikipedia.org website: http://en.wikipedia.org/wiki/Explicit_memory
Cognition.Memory.Implicit;The long-term memory of skills and procedures;  is often not easily verbalized, but can be used without consciously thinking about it.;The long-term memory of skills and procedures;  is often not easily verbalized, but can be used without consciously thinking about it.;implicit memory. (n.d.). Wikipedia. Retrieved September 08, 2006, from Wikipedia.org website: http://en.wikipedia.org/wiki/Implicit_memory
Cognition.Music;The mental faculty associated with the art of sound in time that expresses ideas and emotions in significant forms through the elements of rhythm, melody, harmony, and color.;An art of sound in time that expresses ideas and emotions in significant forms through the elements of rhythm, melody, harmony, and color.;music. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=music&x=0&y=0
Cognition.Reasoning;The mental faculty of forming conclusions, judgments, or inferences from facts or premises.;The process of forming conclusions, judgments, or inferences from facts or premises.;reasoning. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=reasoning&x=0&y=0
Cognition.Soma;The mental faculty associated with knowledge of one's body.;;
Cognition.Space;The mental faculty associated with awareness of the three-dimensional expanse in which all material objects are located and all events occur.;The unlimited or incalculably great three-dimensional realm or expanse in which all material objects are located and all events occur.;space. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=space&x=0&y=0
Cognition.Time;The mental faculty associated with the system of sequential relations that any event has to any other as past, present, or future.;The system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another.;time. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=time&x=0&y=0
Emotion;The mental faculty of experiencing an affective state of consciousness such as joy, sorrow, fear, hate, etc.;An affective state of consciousness in which joy, sorrow, fear, hate, or the like, is experienced, as distinguished from cognitive and volitional states of consciousness.;emotion. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=emotion&x=0&y=0
Emotion.Anxiety;An emotion characterized by distress or uneasiness of mind caused by fear of danger or misfortune.;Distress or uneasiness of mind caused by fear of danger or misfortune.;anxiety. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=anxiety&x=0&y=0
Emotion.Disgust;An emotion characterized by a strong distaste, nausea, or loathing.;A strong distaste; nausea; loathing.;disgust. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=disgust&x=0&y=0
Emotion.Fear;An emotion of being afraid aroused by distress, impending danger, evil, pain, etc.;A distressing emotion aroused by impending danger, evil, pain, etc., whether the threat is real or imagined; the feeling or condition of being afraid.;fear. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=fear&x=0&y=0
Emotion.Happiness;An emotion of well-being ranging from contentment to intense joy.;A state of well-being characterized by emotions ranging from contentment to intense joy.;happiness. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=happiness&x=0&y=0
Emotion.Happiness.Humor;An emotion of characterized by a comic, absurd, or incongruous quality causing amusement.;A comic, absurd, or incongruous quality causing amusement.;humor. (n.d.). Dictionary.com Unabridged (v 1.1). Retrieved April 02, 2007, from Dictionary.com website: http://dictionary.reference.com/browse/humor
Emotion.Sadness;An emotion of sorrow or mourning characterized by unhappiness or grief.;Affected by unhappiness or grief; sorrowful or mournful.;sadness. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved October 02, 2006, from Dictionary.com website: http://dictionary.reference.com/browse/sadness
Emotion.Anger;An emotion of wrath or ire characterized by displeasure and belligerence aroused by a wrong.;A strong feeling of displeasure and belligerence aroused by a wrong; wrath; ire.;anger. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=anger&x=0&y=0
Perception;The mental faculty of apprehending knowledge by means of the senses.;The act or faculty of apprehending by means of the senses.;perception. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=perception&x=0&y=0
Perception.Audition;The sense of hearing.;The sense, ability, or power of hearing.;audition. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=audition&x=0&y=0
Perception.Gustation;The sense of tasting.;The act or faculty of tasting.;gustation. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=gustation&x=0&y=0
Perception.Olfaction;The sense of smelling.;The act or process of smelling.;olfaction. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=olfaction&x=0&y=0
Perception.Somesthesis;The sense of bodily perception.;The faculty of bodily perception; sensory systems associated with the body; includes skin senses and proprioception.;somesthesis. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=somesthesis&x=0&y=0
Perception.Somesthesis.Pain;The sense of bodily perception associated with an unpleasant sensation occurring in varying degrees of severity as a consequence of injury, disease, or emotional disorder.;An unpleasant sensation occurring in varying degrees of severity as a consequence of injury, disease, or emotional disorder.;pain. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=pain&x=0&y=0
Perception.Vision;The sense of sight.;The act or power of sensing with the eyes; sight.;vision. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=vision&x=0&y=0
Perception.Vision.Color;The visual perception of the quality of an object or substance with respect to light reflected by the object, usually determined visually by measurement of hue, saturation, and brightness of the reflected light.;The quality of an object or substance with respect to light reflected by the object, usually determined visually by measurement of hue, saturation, and brightness of the reflected light; saturation or chroma; hue.;color. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=color&x=0&y=0
Perception.Vision.Motion;The visual perception of the action or process of moving or of changing place or position.;The action or process of moving or of changing place or position; movement.;motion. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=motion&x=0&y=0
Perception.Vision.Shape;The visual perception of the quality of a distinct object in having an external surface or outline of specific form or figure.;The quality of a distinct object or body in having an external surface or outline of specific form or figure.;shape. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=shape&x=0&y=0
Interoception;The mental faculty associated with sensitivity to stimuli originating inside of the body.;Sensitivity to stimuli originating inside of the body.;interoception. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=interoception&x=0&y=0
Interoception.Air-Hunger;The need for respiration.;Deep, rapid, and labored breathing caused by an increased respiratory drive due to abnormally low blood oxygen levels, as in severe heart failure or asthma.;air hunger. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?r=2&q=air hunger
Interoception.Baroregulation;The need to regulate blood pressure.;;
Interoception.Bladder;The need to eliminate urine.;;
Interoception.Hunger;The need for food.;A compelling need or desire for food.;hunger. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=hunger&x=0&y=0
Interoception.Osmoregulation;The need for the body's cells to maintain fluid and electrolyte balance with their surroundings.;The process by which cells and simple organisms maintain fluid and electrolyte balance with their surroundings.;osmoregulation. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=osmoregulation&x=0&y=0
Interoception.Sexuality;The need for sexual activity.;Concern with or interest in sexual activity.;sexuality. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=sexuality&x=0&y=0
Interoception.Sleep;The need for the natural suspension, complete or partial, of consciousness.;To take the rest afforded by a suspension of voluntary bodily functions and the natural suspension, complete or partial, of consciousness; cease being awake.;sleep. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=sleep&x=0&y=0
Interoception.Thermoregulation;The need for the maintenance of a constant internal body temperature independent of the environmental temperature.;Maintenance of a constant internal body temperature independent of the environmental temperature.;thermoregulation. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=thermoregulation&x=0&y=0
Interoception.Thirst;The need for liquid that causes a sensation of dryness in the mouth and throat.;A sensation of dryness in the mouth and throat caused by need of liquid.;thirst. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=thirst&x=0&y=0
Action;The mental faculty associated with overt movements of the body.;The state or process of acting or doing.;action. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=action&x=0&y=0
Action.Execution;The state or process of executing an overt movement of the body.;;
Action.Execution.Speech;The state or process of overtly speaking.;The faculty or act of speaking.;speech. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=speech&x=0&y=0
Action.Imagination;The state or process of imagining an overt movement of the body.;The faculty of imagining, or of forming mental images or concepts of what is not actually present to the senses; the action or process of forming such images or concepts.;imagination. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=imagination&x=0&y=0
Action.Inhibition;The state or process of inhibiting an overt movement of the body.;The conscious or unconscious restraint of a behavioral process, a desire, or an impulse; any of a variety of processes that are associated with the gradual attenuation, masking, and extinction of a previously conditioned response.;inhibition. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=inhibition&x=0&y=0
Action.Motion Learning;The state or process of learning how to execute an overt movement of the body.;;
Action.Observation;The state or process of observing an overt movement of the body.;An act or instance of regarding attentively or watching.;observation. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=observation&x=0&y=0
Action.Preparation;The state or process of preparing for an overt movement of the body.;The state of having been made ready or prepared for use or action.;preparation. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=preparation&x=0&y=0
Action.Rest;The state or process of resting from overt movements of the body.;The cessation or absence of motion.;rest. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=rest&x=0&y=0
Pharmacology;The science of dealing with the effect of drugs.;The science dealing with the preparation, uses, and especially the effects of drugs.;pharmacology. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=pharmacology&x=0&y=0
Pharmacology.Alcohol;The science of dealing with the effect of alcohol, a colorless, volatile flammable liquid synthesized or obtained by fermentation of sugars and starches and widely used, either pure or denatured, as a solvent and in drugs. ;A colorless, volatile, flammable liquid synthesized or obtained by fermentation of sugars and starches and widely used, either pure or denatured, as a solvent and in drugs. ;alcohol. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=alcohol&x=0&y=0
Pharmacology.Cocaine;The science of dealing with the effect of a colorless or white crystalline alkaloid extracted from coca leaves, sometimes used as a local anesthetic especially for the eyes, nose, or throat and widely used as an illicit drug for its euphoric and stimulating effects.;A colorless or white crystalline alkaloid extracted from coca leaves, sometimes used as a local anesthetic especially for the eyes, nose, or throat and widely used as an illicit drug for its euphoric and stimulating effects.;cocaine. (n.d.). The American Heritage® Stedman's Medical Dictionary. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=cocaine&x=0&y=0
Pharmacology.Marijuana;The science of dealing with the effect of the dried leaves and female flowers of the hemp plant, used in cigarette form as a narcotic or hallucinogen.;The dried leaves and female flowers of the hemp plant, used in cigarette form as a narcotic or hallucinogen.;marijuana. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=marijuana&x=0&y=0
Pharmacology.Methamphetamine;The science of dealing with the effect of a central nervous system stimulant, C10H15N, used clinically in the treatment of narcolepsy, hyperkinesia, and for blood pressure maintenance in hypotensive states: also widely used as an illicit drug.;A central nervous system stimulant, C10H15N, used clinically in the treatment of narcolepsy, hyperkinesia, and for blood pressure maintenance in hypotensive states: also widely used as an illicit drug.;methamphetamine. (n.d.). Dictionary.com Unabridged (v 1.0.1). Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=methamphetamine&x=0&y=0
Pharmacology.Nicotine;The science of dealing with the effect of a colorless, poisonous alkaloid, C10H14N2, derived from the tobacco plant and used as an insecticide. It is the substance in tobacco to which smokers can become addicted.;A colorless, poisonous alkaloid, C10H14N2, derived from the tobacco plant and used as an insecticide. It is the substance in tobacco to which smokers can become addicted.;nicotine. (n.d.). The American Heritage® Dictionary of the English Language, Fourth Edition. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=nicotine&x=0&y=0
Pharmacology.Prozac;The science of dealing with the effect of a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant.;A selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant.;prozac. (n.d.). WordNet® 2.0. Retrieved September 08, 2006, from Dictionary.com website: http://dictionary.reference.com/search?q=prozac&x=0&y=0
